group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
118,110,-1.840023183,-0.408293954,1.402497014,-2.584346416,-1.547913402,-0.269217549,FALSE,150.0
118,111,-1.845963793,-0.42945502,1.477218913,-2.644025195,-1.551436135,-0.275099057,FALSE,150.0
118,112,-1.854470008,-0.448469175,1.545569025,-2.695055801,-1.550222806,-0.28359144,FALSE,150.0
118,113,-1.864451011,-0.464373355,1.614770422,-2.753986718,-1.546975436,-0.29352278,FALSE,150.0
118,114,-1.874293064,-0.478676378,1.678538441,-2.805527445,-1.545244948,-0.30334051,FALSE,150.0
118,115,-1.885990077,-0.489263602,1.743552596,-2.866244531,-1.541075417,-0.314960908,FALSE,150.0
118,116,-1.898122782,-0.497751814,1.805150465,-2.923909801,-1.537520563,-0.327024058,FALSE,150.0
118,117,-1.911573097,-0.502899931,1.865414003,-2.984436063,-1.53302522,-0.340378457,FALSE,150.0
118,118,-1.923962005,-0.509412106,1.915603613,-3.024782593,-1.531016092,-0.352827852,FALSE,150.0
117,1,-1.479393624,-0.500499365,1.874775648,-3.005317109,-1.555420788,0.091252855,FALSE,150.0
117,2,-1.481019423,-0.493379627,1.820666915,-2.95898792,-1.558058557,0.089620398,FALSE,150.0
117,3,-1.49083308,-0.487976667,1.762286431,-2.898355712,-1.544649805,0.079883972,FALSE,150.0
117,4,-1.497785356,-0.477033834,1.705919558,-2.852595706,-1.535773852,0.072961537,FALSE,150.0
117,5,-1.501322118,-0.465543417,1.641823596,-2.793212326,-1.533048838,0.069454618,FALSE,150.0
117,6,-1.503386141,-0.450647755,1.577364532,-2.740219103,-1.533008244,0.067400787,FALSE,150.0
117,7,-1.505239368,-0.433958441,1.507955875,-2.681185737,-1.533168787,0.065562232,FALSE,150.0
